회사명,항목,외인,기관,개인,개반,법인,총점
현대코퍼레이션,1년,48.2,72.7,47.4,52.6,13.6,57.8
현대코퍼레이션,2년,69.1,75.6,22.2,77.8,38.4,74.2
현대코퍼레이션,3년,78.3,80.5,17.2,82.8,45.7,80.5
현대코퍼레이션,합산,65.2,76.3,28.9,71.1,32.6,70.8
아이마켓코리아,1년,79.0,72.5,25.8,74.2,53.4,75.2
아이마켓코리아,2년,95.2,91.9,6.2,93.8,6.6,93.6
아이마켓코리아,3년,95.4,85.3,9.2,90.8,7.5,90.5
아이마켓코리아,합산,89.9,83.2,13.7,86.3,22.5,86.4
성우,1년,23.6,97.2,36.5,63.5,61.6,61.4
성우,2년,23.6,97.2,36.5,63.5,61.6,61.4
성우,3년,23.6,97.2,36.5,63.5,61.6,61.4
성우,합산,23.6,97.2,36.5,63.5,61.6,61.4
CR홀딩스,1년,89.5,47.6,67.5,32.5,27.4,56.5
CR홀딩스,2년,79.1,69.8,30.9,69.1,48.7,72.7
CR홀딩스,3년,77.8,70.2,29.2,70.8,51.9,72.9
CR홀딩스,합산,82.1,62.5,42.5,57.5,42.7,67.4
KISCO홀딩스,1년,83.8,13.9,84.2,15.8,69.6,37.8
KISCO홀딩스,2년,39.8,64.9,34.3,65.7,38.7,56.8
KISCO홀딩스,3년,24.3,75.0,33.4,66.6,79.8,55.3
KISCO홀딩스,합산,49.3,51.3,50.6,49.4,62.7,50.0
이리츠코크렙,1년,71.5,43.9,51.4,48.6,56.4,54.7
이리츠코크렙,2년,68.6,45.5,34.1,65.9,68.3,60.0
이리츠코크렙,3년,50.1,17.1,19.8,80.2,90.7,49.1
이리츠코크렙,합산,63.4,35.5,35.1,64.9,71.8,54.6
인선이엔티,1년,10.7,79.0,82.8,17.2,36.4,35.6
인선이엔티,2년,19.6,87.5,54.2,45.8,34.7,51.0
인선이엔티,3년,53.9,89.8,40.0,60.0,13.8,67.9
인선이엔티,합산,28.1,85.4,59.0,41.0,28.3,51.5
휴스틸,1년,91.6,78.8,6.8,93.2,87.4,87.9
휴스틸,2년,97.3,60.6,5.2,94.8,62.0,84.2
휴스틸,3년,82.5,43.3,30.7,69.3,60.6,65.0
휴스틸,합산,90.5,60.9,14.2,85.8,70.0,79.0
JTC,1년,29.1,78.1,37.8,62.2,52.7,56.5
JTC,2년,28.8,75.6,32.0,68.0,66.8,57.5
JTC,3년,57.3,77.0,22.0,78.0,79.0,70.8
JTC,합산,38.4,76.9,30.6,69.4,66.2,61.6
SIMPAC,1년,47.7,39.1,64.8,35.2,32.6,40.7
SIMPAC,2년,71.8,93.2,22.0,78.0,37.6,81.0
SIMPAC,3년,91.9,29.2,7.2,92.8,46.4,71.3
SIMPAC,합산,70.5,53.8,31.3,68.7,38.9,64.3
에스바이오메딕스,1년,37.0,17.0,81.8,18.2,19.1,24.1
에스바이오메딕스,2년,31.5,21.8,80.4,19.6,20.0,24.3
에스바이오메딕스,3년,31.5,21.8,80.4,19.6,20.0,24.3
에스바이오메딕스,합산,33.3,20.2,80.9,19.1,19.7,24.2
신성이엔지,1년,83.8,88.9,13.6,86.4,91.2,86.4
신성이엔지,2년,81.9,91.5,12.8,87.2,70.6,86.9
신성이엔지,3년,76.0,80.8,18.5,81.5,58.7,79.4
신성이엔지,합산,80.6,87.1,15.0,85.0,73.5,84.2
태웅,1년,46.8,86.1,46.8,53.2,9.4,62.0
태웅,2년,70.0,80.5,22.7,77.3,33.3,75.9
태웅,3년,82.2,88.6,12.6,87.4,58.8,86.1
태웅,합산,66.3,85.1,27.4,72.6,33.8,74.7
올릭스,1년,43.5,70.8,34.0,66.0,47.4,60.1
올릭스,2년,51.0,71.2,29.2,70.8,48.5,64.3
올릭스,3년,69.7,76.5,16.5,83.5,48.6,76.6
올릭스,합산,54.7,72.8,26.6,73.4,48.2,67.0
유진기업,1년,87.8,61.0,11.5,88.5,42.8,79.1
유진기업,2년,65.6,55.1,25.9,74.1,49.0,64.9
유진기업,3년,80.0,12.4,74.9,25.1,40.1,39.2
유진기업,합산,77.8,42.8,37.4,62.6,44.0,61.1
제주은행,1년,81.8,71.1,15.8,84.2,62.1,79.0
제주은행,2년,52.2,85.5,23.1,76.9,76.2,71.5
제주은행,3년,65.4,55.9,34.3,65.7,63.2,62.3
제주은행,합산,66.5,70.8,24.4,75.6,67.2,70.9
제이브이엠,1년,14.1,98.1,2.6,97.4,35.9,69.9
제이브이엠,2년,32.9,65.2,37.1,62.9,56.0,53.7
제이브이엠,3년,62.8,59.1,30.8,69.2,73.9,63.7
제이브이엠,합산,36.6,74.1,23.5,76.5,55.3,62.4
아스트,1년,30.0,96.9,5.7,94.3,93.2,73.7
아스트,2년,33.8,89.8,14.7,85.3,85.2,69.6
아스트,3년,33.3,94.0,14.4,85.6,82.9,71.0
아스트,합산,32.4,93.6,11.6,88.4,87.1,71.4
화신,1년,86.4,94.5,5.4,94.6,64.6,91.8
화신,2년,82.9,90.5,9.1,90.9,46.9,88.1
화신,3년,81.4,61.4,19.9,80.1,38.7,74.3
화신,합산,83.6,82.1,11.5,88.5,50.1,84.7
글로벌텍스프리,1년,52.3,91.9,9.2,90.8,35.4,78.3
글로벌텍스프리,2년,77.2,84.9,14.8,85.2,24.0,82.4
글로벌텍스프리,3년,88.2,91.8,11.0,89.0,12.0,89.7
글로벌텍스프리,합산,72.6,89.5,11.7,88.3,23.8,83.5
에스와이스틸텍,1년,62.9,25.8,63.6,36.4,85.2,41.7
에스와이스틸텍,2년,63.2,30.4,63.0,37.0,83.5,43.5
에스와이스틸텍,3년,63.2,30.4,63.0,37.0,83.5,43.5
에스와이스틸텍,합산,63.1,28.9,63.2,36.8,84.1,42.9
미래에셋벤처투자,1년,86.7,51.9,35.1,64.9,51.1,67.8
미래에셋벤처투자,2년,58.0,48.4,50.7,49.3,40.4,51.9
미래에셋벤처투자,3년,29.3,43.2,55.1,44.9,76.6,39.1
미래에셋벤처투자,합산,58.0,47.8,47.0,53.0,56.0,52.9
엠아이텍,1년,71.2,62.4,25.8,74.2,49.3,69.3
엠아이텍,2년,85.1,42.0,42.7,57.3,18.1,61.5
엠아이텍,3년,74.8,40.7,47.8,52.2,28.7,55.9
엠아이텍,합산,77.0,48.4,38.8,61.2,32.0,62.2
미래나노텍,1년,70.6,33.8,39.9,60.1,66.1,54.8
미래나노텍,2년,54.7,66.6,26.8,73.2,83.8,64.8
미래나노텍,3년,40.5,33.4,63.9,36.1,71.1,36.7
미래나노텍,합산,55.3,44.6,43.5,56.5,73.7,52.1
아나패스,1년,59.4,50.0,34.7,65.3,64.1,58.2
아나패스,2년,69.7,33.2,45.8,54.2,56.4,52.4
아나패스,3년,51.3,46.8,43.8,56.2,63.0,51.4
아나패스,합산,60.1,43.3,41.4,58.6,61.2,54.0
교촌에프앤비,1년,72.8,94.1,9.6,90.4,75.3,85.8
교촌에프앤비,2년,75.6,89.3,14.2,85.8,72.9,83.6
교촌에프앤비,3년,46.3,90.1,26.3,73.7,35.2,70.0
교촌에프앤비,합산,64.9,91.2,16.7,83.3,61.1,79.8
한국토지신탁,1년,90.0,78.9,11.9,88.1,28.6,85.7
한국토지신탁,2년,97.9,95.0,1.0,99.0,4.8,97.3
한국토지신탁,3년,96.4,98.6,2.0,98.0,3.7,97.7
한국토지신탁,합산,94.8,90.8,5.0,95.0,12.4,93.6
YG PLUS,1년,48.6,49.1,49.4,50.6,70.5,49.4
YG PLUS,2년,55.6,84.4,24.2,75.8,70.9,71.9
YG PLUS,3년,53.7,89.6,19.7,80.3,44.2,74.5
YG PLUS,합산,52.6,74.4,31.1,68.9,61.9,65.3
텔레칩스,1년,41.3,98.5,18.5,81.5,57.6,73.8
텔레칩스,2년,68.8,78.0,20.8,79.2,39.3,75.3
텔레칩스,3년,75.4,63.3,19.4,80.6,30.7,73.1
텔레칩스,합산,61.8,79.9,19.6,80.4,42.5,74.1
CMG제약,1년,84.6,39.0,15.1,84.9,53.4,69.5
CMG제약,2년,77.8,64.9,22.3,77.7,55.0,73.5
CMG제약,3년,85.1,88.4,11.0,89.0,82.0,87.5
CMG제약,합산,82.5,64.1,16.1,83.9,63.5,76.8
디오,1년,95.6,59.5,16.1,83.9,6.2,79.7
디오,2년,91.7,82.8,7.6,92.4,26.5,89.0
디오,3년,86.3,76.0,10.4,89.6,23.4,84.0
디오,합산,91.2,72.8,11.4,88.6,18.7,84.2
DB,1년,81.7,41.4,46.1,53.9,17.7,59.0
DB,2년,54.6,65.7,48.4,51.6,39.0,57.3
DB,3년,70.4,89.5,16.2,83.8,65.8,81.2
DB,합산,68.9,65.5,36.9,63.1,40.8,65.8
KG에코솔루션,1년,88.7,13.9,13.4,86.6,24.4,63.1
KG에코솔루션,2년,65.1,18.2,17.4,82.6,68.0,55.3
KG에코솔루션,3년,41.6,42.9,29.7,70.3,70.7,51.6
KG에코솔루션,합산,65.1,25.0,20.2,79.8,54.4,56.7
에스오에스랩,1년,50.7,57.7,60.6,39.4,32.6,49.3
에스오에스랩,2년,50.7,57.7,60.6,39.4,32.6,49.3
에스오에스랩,3년,50.7,57.7,60.6,39.4,32.6,49.3
에스오에스랩,합산,50.7,57.7,60.6,39.4,32.6,49.3
서울가스,1년,91.2,66.8,9.5,90.5,7.9,82.8
서울가스,2년,79.6,97.2,5.3,94.7,80.3,90.5
서울가스,3년,71.6,95.6,13.8,86.2,69.0,84.5
서울가스,합산,80.8,86.5,9.5,90.5,52.4,85.9
코난테크놀로지,1년,25.6,69.0,51.9,48.1,10.1,47.6
코난테크놀로지,2년,75.2,23.0,25.3,74.7,84.6,57.6
코난테크놀로지,3년,60.1,26.0,30.8,69.2,87.1,51.8
코난테크놀로지,합산,53.6,39.3,36.0,64.0,60.6,52.3
이연제약,1년,66.5,49.9,36.0,64.0,26.3,60.1
이연제약,2년,59.9,88.7,13.8,86.2,49.9,78.3
이연제약,3년,90.0,89.6,5.0,95.0,90.4,91.5
이연제약,합산,72.1,76.1,18.3,81.7,55.5,76.6
에이프로젠,1년,46.9,90.9,10.0,90.0,44.3,75.9
에이프로젠,2년,70.7,66.3,16.4,83.6,71.2,73.5
에이프로젠,3년,57.1,70.8,15.3,84.7,93.2,70.9
에이프로젠,합산,58.2,76.0,13.9,86.1,69.6,73.4
동국산업,1년,25.9,76.6,36.3,63.7,86.5,55.4
동국산업,2년,47.4,72.7,35.3,64.7,72.1,61.6
동국산업,3년,64.8,46.9,35.6,64.4,54.2,58.7
동국산업,합산,46.0,65.4,35.7,64.3,70.9,58.6
KG이니시스,1년,91.9,73.9,3.5,96.5,4.2,87.4
KG이니시스,2년,83.5,60.7,19.5,80.5,7.2,74.9
KG이니시스,3년,91.7,91.7,5.2,94.8,56.9,92.7
KG이니시스,합산,89.0,75.4,9.4,90.6,22.8,85.0
박셀바이오,1년,82.6,39.4,16.6,83.4,44.1,68.5
박셀바이오,2년,61.1,88.0,13.0,87.0,31.1,78.7
박셀바이오,3년,60.1,84.4,19.7,80.3,30.9,74.9
박셀바이오,합산,67.9,70.6,16.4,83.6,35.4,74.0
대한제당,1년,93.4,7.8,92.9,7.1,6.7,36.1
대한제당,2년,68.6,24.4,74.3,25.7,26.8,39.6
대한제당,3년,58.3,38.5,71.8,28.2,28.0,41.7
대한제당,합산,73.4,23.6,79.7,20.3,20.5,39.1
넥스틸,1년,25.7,19.5,80.9,19.1,21.0,21.4
넥스틸,2년,30.0,40.0,62.9,37.1,38.2,35.7
넥스틸,3년,30.0,40.0,62.9,37.1,38.2,35.7
넥스틸,합산,28.6,33.2,68.9,31.1,32.5,30.9
삼양패키징,1년,67.0,31.3,65.3,34.7,71.1,44.3
삼양패키징,2년,33.3,72.6,30.3,69.7,66.7,58.5
삼양패키징,3년,63.4,67.4,17.6,82.4,80.6,71.1
삼양패키징,합산,54.6,57.1,37.7,62.3,72.8,58.0
에스피소프트,1년,39.0,84.0,18.0,82.0,84.2,68.3
에스피소프트,2년,39.0,84.0,18.0,82.0,84.2,68.3
에스피소프트,3년,39.0,84.0,18.0,82.0,84.2,68.3
에스피소프트,합산,39.0,84.0,18.0,82.0,84.2,68.3
HB테크놀러지,1년,73.3,34.8,55.7,44.3,38.1,50.8
HB테크놀러지,2년,60.7,50.7,64.1,35.9,34.7,49.1
HB테크놀러지,3년,53.9,67.0,73.2,26.8,25.7,49.2
HB테크놀러지,합산,62.6,50.8,64.3,35.7,32.8,49.7
강원에너지,1년,87.4,38.7,37.6,62.4,44.6,62.8
강원에너지,2년,66.0,26.8,74.6,25.4,17.0,39.4
강원에너지,3년,69.3,37.1,72.1,27.9,15.7,44.8
강원에너지,합산,74.2,34.2,61.4,38.6,25.8,49.0
대원강업,1년,82.6,64.1,22.0,78.0,40.3,74.9
대원강업,2년,74.6,78.9,34.4,65.6,24.4,73.0
대원강업,3년,87.0,89.5,14.1,85.9,56.3,87.5
대원강업,합산,81.4,77.5,23.5,76.5,40.3,78.5
원익머트리얼즈,1년,8.7,97.7,7.4,92.6,45.6,66.3
원익머트리얼즈,2년,33.0,90.9,19.3,80.7,43.9,68.2
원익머트리얼즈,3년,46.0,65.5,37.5,62.5,30.0,58.0
원익머트리얼즈,합산,29.2,84.7,21.4,78.6,39.8,64.2
삼진제약,1년,72.7,18.0,74.8,25.2,91.5,38.6
삼진제약,2년,91.8,17.8,44.1,55.9,32.8,55.2
삼진제약,3년,94.6,7.2,36.1,63.9,32.4,55.2
삼진제약,합산,86.4,14.3,51.7,48.3,52.2,49.7
콜마홀딩스,1년,45.5,76.0,28.0,72.0,47.3,64.5
콜마홀딩스,2년,24.9,68.1,65.2,34.8,74.8,42.6
콜마홀딩스,3년,22.2,78.9,59.3,40.7,77.5,47.3
콜마홀딩스,합산,30.9,74.3,50.8,49.2,66.5,51.5
퓨런티어,1년,58.7,70.3,24.8,75.2,74.2,68.1
퓨런티어,2년,53.5,89.1,14.4,85.6,81.2,76.1
퓨런티어,3년,57.2,83.9,19.7,80.3,54.0,73.8
퓨런티어,합산,56.5,81.1,19.6,80.4,69.8,72.7
코리아써키트,1년,43.9,82.1,41.1,58.9,28.9,61.6
코리아써키트,2년,54.4,83.9,28.6,71.4,50.2,69.9
코리아써키트,3년,72.3,95.7,7.8,92.2,39.5,86.7
코리아써키트,합산,56.9,87.2,25.8,74.2,39.5,72.7
유진투자증권,1년,16.2,60.9,79.9,20.1,53.6,32.4
유진투자증권,2년,55.4,77.4,67.8,32.2,29.1,55.0
유진투자증권,3년,68.3,80.8,63.5,36.5,22.2,61.9
유진투자증권,합산,46.6,73.0,70.4,29.6,35.0,49.8
CJ프레시웨이,1년,93.1,91.4,4.2,95.8,88.2,93.4
CJ프레시웨이,2년,69.5,92.9,6.7,93.3,72.8,85.2
CJ프레시웨이,3년,86.1,93.5,4.2,95.8,27.0,91.8
CJ프레시웨이,합산,82.9,92.6,5.0,95.0,62.7,90.1
위지윅스튜디오,1년,82.3,17.6,19.4,80.6,87.4,60.2
위지윅스튜디오,2년,84.5,15.2,17.1,82.9,86.3,60.9
위지윅스튜디오,3년,84.9,26.3,12.1,87.9,83.1,66.4
위지윅스튜디오,합산,83.9,19.7,16.2,83.8,85.6,62.5
TYM,1년,64.7,95.7,15.0,85.0,26.0,81.8
TYM,2년,32.9,90.6,14.7,85.3,15.0,69.6
TYM,3년,35.0,92.9,15.3,84.7,42.0,70.9
TYM,합산,44.2,93.1,15.0,85.0,27.7,74.1
엑스게이트,1년,49.5,87.7,19.3,80.7,60.1,72.6
엑스게이트,2년,51.6,34.3,64.9,35.1,31.2,40.3
엑스게이트,3년,51.6,34.3,64.9,35.1,31.2,40.3
엑스게이트,합산,50.9,52.1,49.7,50.3,40.8,51.1
넥센,1년,90.2,78.1,19.4,80.6,76.4,83.0
넥센,2년,90.6,82.5,15.6,84.4,56.2,85.8
넥센,3년,74.0,77.8,19.3,80.7,54.2,77.5
넥센,합산,84.9,79.5,18.1,81.9,62.3,82.1
종근당홀딩스,1년,20.3,46.9,77.0,23.0,65.9,30.1
종근당홀딩스,2년,47.8,77.5,29.2,70.8,68.5,65.4
종근당홀딩스,3년,75.9,42.5,39.5,60.5,43.0,59.6
종근당홀딩스,합산,48.0,55.6,48.6,51.4,59.1,51.7
동국홀딩스,1년,72.7,26.4,33.8,66.2,25.2,55.1
동국홀딩스,2년,82.5,65.0,21.4,78.6,32.7,75.4
동국홀딩스,3년,46.9,81.8,31.7,68.3,20.6,65.7
동국홀딩스,합산,67.4,57.7,29.0,71.0,26.2,65.4
신대양제지,1년,69.2,27.5,71.9,28.1,74.0,41.6
신대양제지,2년,97.4,24.2,68.3,31.7,9.8,51.1
신대양제지,3년,98.4,13.4,79.8,20.2,5.4,44.0
신대양제지,합산,88.3,21.7,73.3,26.7,29.7,45.6
앱클론,1년,73.1,62.4,30.9,69.1,63.7,68.2
앱클론,2년,64.7,58.7,37.7,62.3,67.8,61.9
앱클론,3년,52.1,52.8,45.8,54.2,68.2,53.0
앱클론,합산,63.3,58.0,38.1,61.9,66.6,61.0
시너지이노베이션,1년,40.3,55.7,51.9,48.1,53.1,48.0
시너지이노베이션,2년,49.1,62.1,40.4,59.6,58.4,56.9
시너지이노베이션,3년,22.4,79.3,36.6,63.4,64.4,55.0
시너지이노베이션,합산,37.3,65.7,43.0,57.0,58.6,53.3
오상헬스케어,1년,43.5,82.4,69.3,30.7,26.0,52.2
오상헬스케어,2년,43.5,82.4,69.3,30.7,26.0,52.2
오상헬스케어,3년,43.5,82.4,69.3,30.7,26.0,52.2
오상헬스케어,합산,43.5,82.4,69.3,30.7,26.0,52.2
석경에이티,1년,93.8,8.7,90.7,9.3,9.1,37.3
석경에이티,2년,29.5,15.5,75.1,24.9,31.4,23.3
석경에이티,3년,13.6,45.0,87.3,12.7,31.2,23.8
석경에이티,합산,45.6,23.1,84.4,15.6,23.9,28.1
삼영무역,1년,78.7,55.6,16.6,83.4,25.5,72.6
삼영무역,2년,71.2,50.0,35.1,64.9,41.5,62.0
삼영무역,3년,74.6,63.7,26.2,73.8,22.5,70.7
삼영무역,합산,74.8,56.4,26.0,74.0,29.8,68.4
아미코젠,1년,82.6,93.4,10.6,89.4,75.3,88.5
아미코젠,2년,92.9,93.5,7.2,92.8,84.1,93.1
아미코젠,3년,92.3,91.5,8.6,91.4,84.1,91.7
아미코젠,합산,89.3,92.8,8.8,91.2,81.2,91.1
대덕,1년,40.7,36.9,66.8,33.2,40.8,36.9
대덕,2년,48.2,36.8,66.0,34.0,37.5,39.7
대덕,3년,72.3,43.3,49.7,50.3,37.0,55.3
대덕,합산,53.7,39.0,60.8,39.2,38.4,44.0
대성에너지,1년,59.6,40.3,36.4,63.6,72.9,54.5
대성에너지,2년,62.3,63.1,37.8,62.2,45.5,62.5
대성에너지,3년,54.6,70.7,44.7,55.3,38.9,60.2
대성에너지,합산,58.8,58.0,39.6,60.4,52.4,59.1
대아티아이,1년,46.7,35.8,45.5,54.5,89.8,45.7
대아티아이,2년,62.2,24.1,37.2,62.8,66.4,49.7
대아티아이,3년,15.8,80.7,81.4,18.6,63.0,38.4
대아티아이,합산,41.6,46.9,54.7,45.3,73.1,44.6
광주신세계,1년,86.8,37.9,11.5,88.5,67.6,71.1
광주신세계,2년,17.0,68.0,51.4,48.6,76.5,44.5
광주신세계,3년,50.4,83.1,33.8,66.2,47.4,66.6
광주신세계,합산,51.4,63.0,32.2,67.8,63.8,60.7
휴마시스,1년,57.8,54.4,50.2,49.8,48.0,54.0
휴마시스,2년,93.7,21.0,40.5,59.5,25.4,58.1
휴마시스,3년,93.3,14.2,35.5,64.5,21.2,57.3
휴마시스,합산,81.6,29.9,42.1,57.9,31.5,56.5
도화엔지니어링,1년,24.7,80.1,67.2,32.8,55.7,45.9
도화엔지니어링,2년,73.0,89.7,19.9,80.1,14.4,80.9
도화엔지니어링,3년,75.2,47.2,38.6,61.4,71.8,61.3
도화엔지니어링,합산,57.6,72.3,41.9,58.1,47.3,62.7
GS글로벌,1년,32.1,64.2,61.6,38.4,55.3,44.9
GS글로벌,2년,46.4,72.8,46.0,54.0,63.6,57.7
GS글로벌,3년,37.0,57.6,58.3,41.7,55.4,45.4
GS글로벌,합산,38.5,64.9,55.3,44.7,58.1,49.3
오로스테크놀로지,1년,76.2,93.1,5.9,94.1,75.1,87.8
오로스테크놀로지,2년,53.8,90.4,7.2,92.8,67.4,79.0
오로스테크놀로지,3년,46.5,89.5,12.4,87.6,40.3,74.5
오로스테크놀로지,합산,58.8,91.0,8.5,91.5,60.9,80.4
와이씨켐,1년,40.8,36.6,72.4,27.6,29.5,35.0
와이씨켐,2년,60.4,23.5,78.5,21.5,20.3,35.1
와이씨켐,3년,62.9,28.7,72.1,27.9,28.1,39.8
와이씨켐,합산,54.7,29.6,74.3,25.7,26.0,36.6
셀비온,1년,26.6,72.5,28.5,71.5,74.3,56.9
셀비온,2년,26.6,72.5,28.5,71.5,74.3,56.9
셀비온,3년,26.6,72.5,28.5,71.5,74.3,56.9
셀비온,합산,26.6,72.5,28.5,71.5,74.3,56.9
케이프,1년,80.9,61.4,18.6,81.4,79.4,74.6
케이프,2년,78.7,38.0,11.9,88.1,84.1,68.3
케이프,3년,68.5,42.7,32.9,67.1,67.0,59.4
케이프,합산,76.0,47.4,21.1,78.9,76.8,67.4
진성티이씨,1년,83.6,59.6,19.5,80.5,85.0,74.6
진성티이씨,2년,87.1,91.7,7.1,92.9,69.9,90.6
진성티이씨,3년,74.9,72.8,11.4,88.6,60.8,78.8
진성티이씨,합산,81.9,74.7,12.7,87.3,71.9,81.3
삼부토건,1년,84.1,92.7,7.5,92.5,91.8,89.8
삼부토건,2년,73.8,79.5,25.9,74.1,64.7,75.8
삼부토건,3년,67.3,76.8,29.7,70.3,61.8,71.5
삼부토건,합산,75.1,83.0,21.0,79.0,72.8,79.0
DB금융투자,1년,83.8,91.0,8.1,91.9,40.4,88.9
DB금융투자,2년,35.1,90.4,8.4,91.6,27.0,72.4
DB금융투자,3년,75.6,70.6,26.0,74.0,18.5,73.4
DB금융투자,합산,64.8,84.0,14.2,85.8,28.6,78.2
SK증권,1년,92.3,91.4,9.5,90.5,11.4,91.4
SK증권,2년,82.1,81.5,4.4,95.6,19.6,86.4
SK증권,3년,59.3,87.2,4.4,95.6,33.7,80.7
SK증권,합산,77.9,86.7,6.1,93.9,21.6,86.2
한화갤러리아,1년,56.4,38.4,59.0,41.0,25.9,45.3
한화갤러리아,2년,86.8,51.0,24.7,75.3,62.8,71.0
한화갤러리아,3년,86.8,51.0,24.7,75.3,62.8,71.0
한화갤러리아,합산,76.7,46.8,36.1,63.9,50.5,62.4
넥스트칩,1년,65.3,77.7,22.0,78.0,70.9,73.7
넥스트칩,2년,71.4,92.8,29.4,70.6,49.4,78.3
넥스트칩,3년,73.1,90.8,44.8,55.2,36.9,73.0
넥스트칩,합산,69.9,87.1,32.1,67.9,52.4,75.0
HB솔루션,1년,47.3,21.9,59.4,40.6,50.4,36.6
HB솔루션,2년,47.1,29.3,67.9,32.1,36.7,36.2
HB솔루션,3년,46.2,26.5,71.8,28.2,31.7,33.6
HB솔루션,합산,46.9,25.9,66.4,33.6,39.6,35.5
탑머티리얼,1년,92.8,17.6,5.2,94.8,86.2,68.4
탑머티리얼,2년,87.0,22.2,31.8,68.2,50.6,59.1
탑머티리얼,3년,82.3,23.0,50.5,49.5,43.7,51.6
탑머티리얼,합산,87.4,20.9,29.2,70.8,60.2,59.7
JW홀딩스,1년,76.8,53.3,63.6,36.4,33.5,55.5
JW홀딩스,2년,80.3,76.4,53.9,46.1,34.7,67.6
JW홀딩스,3년,83.5,51.3,51.2,48.8,37.8,61.2
JW홀딩스,합산,80.2,60.3,56.2,43.8,35.3,61.4
나무가,1년,63.6,40.6,56.7,43.3,49.9,49.2
나무가,2년,78.1,65.3,39.1,60.9,21.2,68.1
나무가,3년,76.4,46.4,38.5,61.5,55.5,61.4
나무가,합산,72.7,50.8,44.8,55.2,42.2,59.6
인터플렉스,1년,75.3,26.0,40.3,59.7,77.6,53.7
인터플렉스,2년,74.8,23.6,50.4,49.6,55.4,49.3
인터플렉스,3년,73.4,31.7,42.6,57.4,78.0,54.2
인터플렉스,합산,74.5,27.1,44.4,55.6,70.3,52.4
케이씨,1년,78.9,10.0,89.1,10.9,42.0,33.3
케이씨,2년,69.2,33.1,59.1,40.9,34.8,47.7
케이씨,3년,71.4,35.2,52.3,47.7,31.7,51.4
케이씨,합산,73.2,26.1,66.8,33.2,36.2,44.1
세방,1년,56.9,63.5,39.5,60.5,53.2,60.3
세방,2년,33.7,69.7,41.7,58.3,50.3,53.9
세방,3년,53.2,53.6,42.6,57.4,42.4,54.7
세방,합산,47.9,62.3,41.3,58.7,48.6,56.3
가비아,1년,90.9,26.7,52.3,47.7,40.2,55.1
가비아,2년,88.0,67.3,15.8,84.2,34.8,79.8
가비아,3년,89.5,76.2,12.8,87.2,26.8,84.3
가비아,합산,89.5,56.7,27.0,73.0,33.9,73.1
다날,1년,46.9,90.8,24.8,75.2,52.2,71.0
다날,2년,67.2,87.3,22.1,77.9,61.9,77.5
다날,3년,72.9,90.8,16.3,83.7,13.3,82.5
다날,합산,62.3,89.6,21.1,78.9,42.5,77.0
디앤씨미디어,1년,37.1,84.2,17.9,82.1,57.0,67.8
디앤씨미디어,2년,59.7,82.9,19.8,80.2,60.6,74.3
디앤씨미디어,3년,57.5,84.9,18.2,81.8,56.4,74.7
디앤씨미디어,합산,51.4,84.0,18.6,81.4,58.0,72.3
폴라리스AI,1년,47.3,42.5,63.6,36.4,15.3,42.1
폴라리스AI,2년,69.3,6.8,93.0,7.0,31.5,27.7
폴라리스AI,3년,70.1,6.2,92.8,7.2,32.7,27.8
폴라리스AI,합산,62.2,18.5,83.1,16.9,26.5,32.5
환인제약,1년,84.1,91.5,7.2,92.8,18.9,89.5
환인제약,2년,89.2,42.6,8.0,92.0,87.0,74.6
환인제약,3년,94.4,50.7,21.4,78.6,32.1,74.6
환인제약,합산,89.2,61.6,12.2,87.8,46.0,79.6
엑세스바이오,1년,52.5,51.2,35.5,64.5,78.6,56.1
엑세스바이오,2년,63.4,35.6,34.3,65.7,85.2,54.9
엑세스바이오,3년,45.1,19.1,75.9,24.1,78.0,29.4
엑세스바이오,합산,53.7,35.3,48.6,51.4,80.6,46.8
한농화성,1년,34.1,81.6,59.7,40.3,49.9,52.0
한농화성,2년,33.3,76.1,54.0,46.0,58.4,51.8
한농화성,3년,43.6,71.5,44.0,56.0,64.6,57.0
한농화성,합산,37.0,76.4,52.6,47.4,57.6,53.6
에브리봇,1년,77.5,25.0,25.0,75.0,69.1,59.2
에브리봇,2년,70.8,40.1,58.9,41.1,36.8,50.7
에브리봇,3년,68.3,42.6,56.6,43.4,40.2,51.4
에브리봇,합산,72.2,35.9,46.8,53.2,48.7,53.8
KPX홀딩스,1년,62.3,83.0,56.5,43.5,33.5,62.9
KPX홀딩스,2년,45.2,76.3,41.3,58.7,56.1,60.1
KPX홀딩스,3년,71.6,34.0,70.0,30.0,29.3,45.2
KPX홀딩스,합산,59.7,64.4,55.9,44.1,39.6,56.1
KH바텍,1년,74.5,93.4,7.1,92.9,18.8,86.9
KH바텍,2년,80.7,93.3,3.8,96.2,39.8,90.1
KH바텍,3년,83.0,68.1,11.8,88.2,63.5,79.8
KH바텍,합산,79.4,84.9,7.6,92.4,40.7,85.6
LS증권,1년,77.8,64.1,34.9,65.1,34.5,69.0
LS증권,2년,82.4,80.7,24.9,75.1,21.4,79.4
LS증권,3년,79.2,83.1,3.1,96.9,30.8,86.4
LS증권,합산,79.8,76.0,21.0,79.0,28.9,78.3
HLB글로벌,1년,68.9,79.1,19.2,80.8,84.9,76.3
HLB글로벌,2년,66.9,56.1,38.4,61.6,62.1,61.5
